id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
18674;Huge flat for 8 people close to Sagrada Familia;71615;Mireia  Maria;Eixample;la Sagrada Família;4140556;217262;Entire home/apt;194;1;42;2/6/2024 19:00;31;28;72;3
23197;Forum CCIB DeLuxe, Spacious, Large Balcony, relax;90417;Etain (Marnie);Sant Martí;el Besòs i el Maresme;4,14124E+15;2,21975E+15;Entire home/apt;304;3;79;23/6/2024 19:00;48;1;116;7
32711;Sagrada Familia area - Còrsega 1;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;4140566;217015;Entire home/apt;211;1;128;4/9/2024 19:00;80;3;319;32
34241;Stylish Top Floor Apartment - Ramblas Plaza Real;73163;Andres;Ciutat Vella;el Barri Gòtic;4138062;217517;Entire home/apt;300;5;20;19/8/2024 19:00;12;3;69;12
34981;VIDRE HOME PLAZA REAL on LAS RAMBLAS;73163;Andres;Ciutat Vella;el Barri Gòtic;4137978;217623;Entire home/apt;314;5;247;1/9/2024 19:00;146;3;241;37
40983;Soho Colonial Eclectic Apartment;177617;Joaquin;Eixample;la Dreta de l'Eixample;4139631;216832;Entire home/apt;164;2;335;5/9/2024 19:00;208;7;278;56
41952;Modern Apartment - Sagrada Familia;183340;Teresa;Gràcia;el Camp d'en Grassot i Gràcia Nova;4140568;216943;Entire home/apt;190;3;94;27/7/2024 19:00;63;3;295;20
49968;Sagrada Familia area - Còrsega 2;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;414057;217016;Entire home/apt;240;1;112;24/8/2024 19:00;70;3;305;29
58512;Stylish & cozy 3BR near Sagrada Familia;280070;Cristina;Sant Martí;el Camp de l'Arpa del Clot;4141129;218193;Entire home/apt;144;10;392;15/8/2024 19:00;240;1;10;12
71553;Best deals for penthouse near Sagrada Familia!;366654;Watermelon Barcelona Apartments;Eixample;la Dreta de l'Eixample;4139705;217469;Entire home/apt;186;3;82;20/4/2024 19:00;50;3;326;3
71736;Long term entire months more than 32 nitghts;368317;Nacharosa;Ciutat Vella;el Raval;4138174;216663;Entire home/apt;68;31;10;30/5/2024 19:00;6;11;311;1
72436;Lugaris Beach Business Apartment;375625;Xavier;Sant Martí;el Poblenou;4139909;220733;Entire home/apt;258;1;833;24/8/2024 19:00;681;6;231;120
73683;Sagrada Familia area for 12 people;135703;Nick;Gràcia;el Camp d'en Grassot i Gràcia Nova;4140554;217017;Entire home/apt;500;1;226;26/8/2024 19:00;140;3;297;37
75411;Sagrada Familia Clot Patio - Wifi/Private/Clean;400154;Mireia;Sant Martí;el Clot;4140682;218649;Entire home/apt;181;3;110;2/9/2024 19:00;71;10;69;28
80004;Parc Montjuic HUTB-004026 58;431839;Xavier;Sants-Montjuïc;el Poble Sec;4137371;216706;Entire home/apt;140;5;188;19/8/2024 19:00;116;1;196;19
83283;★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi;700165;Wonderful Barcelona;Eixample;Sant Antoni;4138237;216146;Private room;95;3;130;25/6/2024 19:00;80;3;21;13
89756;bcn-rentals ramblas 9, right in the city centre;488117;David Y Maria;Ciutat Vella;el Raval;4137861;216737;Entire home/apt;370;6;25;9/5/2024 19:00;17;6;288;2
89776;Modernist aparment in the heart of the city;3556337;Alejandro;Eixample;la Dreta de l'Eixample;4139224;217806;Entire home/apt;169;1;381;21/8/2024 19:00;244;66;292;45
95719;Lovely room  in the heart of Barcelona with A/C;509260;Dalila;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;4138496;217982;Private room;90;31;256;5/10/2022 19:00;157;2;365;0
97529;Furnished one bedroom apartment with bathroom;497450;Francesc;Gràcia;el Camp d'en Grassot i Gràcia Nova;4,14088E+16;2,16607E+16;Entire home/apt;47;120;67;30/10/2022 19:00;43;1;0;0
110041;002. Alió 2 Apartment;396363;Alcam Apartments;Gràcia;el Camp d'en Grassot i Gràcia Nova;4140271;216646;Entire home/apt;94;1;67;13/8/2024 19:00;45;68;292;25
112538;✨Design Apt near Sagrada Familia / Shared terrace✨;567180;Sandra;Eixample;la Sagrada Família;4140653;21746;Entire home/apt;301;2;128;29/8/2024 19:00;80;19;104;15
117010;✨Spacious Flat near Sagrada Familia/Shared terrace;567180;Sandra;Eixample;la Sagrada Família;4140647;217457;Entire home/apt;294;2;57;15/8/2024 19:00;36;19;102;11
118228;✨Bright apt views Sagrada Familia / Shared terrace;567180;Sandra;Eixample;la Sagrada Família;4140653;21746;Entire home/apt;337;2;62;8/8/2024 19:00;39;19;96;12
128463;Private Suite in residential area!!;635253;Sebastian;Sants-Montjuïc;Sants;4137155;213664;Entire home/apt;157;3;432;28/8/2024 19:00;273;1;319;38
135513;Poble Nou Apartment a 3 minutos de la Playa;664196;Teresa;Sant Martí;el Poblenou;4139787;220429;Entire home/apt;182;2;146;1/9/2024 19:00;93;2;321;19
136670;double Room -UPC, ESADE, Barça, Real Club Tennis;610674;Maria;Les Corts;Pedralbes;4138832;212201;Private room;42;32;136;30/8/2024 19:00;86;3;270;4
138055;🌞Apt best views of Sagrada Familia/Shared terrace;567180;Sandra;Eixample;la Sagrada Família;4140653;21746;Entire home/apt;308;2;133;31/8/2024 19:00;83;19;106;18
144471;★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI;700165;Wonderful Barcelona;Eixample;Sant Antoni;4138189;215857;Private room;71;3;41;7/3/2023 19:00;26;3;14;0
